"geno_ID","year","location","pltht","yld_bu_ac","earht"
"Z013E0046/LH185",2014,"Georgetown",260,211.8385716,141
"Z013E0046/LH195",2014,"Georgetown",240,195.5755613,117
"Z013E0047/LH195",2014,"Georgetown",232,153.1066233,109
"Z013E0052/LH185",2014,"Georgetown",220,141.0612667,109
"Z013E0055/LH185",2014,"Georgetown",256,186.0513647,124
"Z013E0056/LH185",2014,"Georgetown",247,197.5330541,136
"Z013E0059/LH185",2014,"Georgetown",260,173.4614443,147
"Z013E0062/LH195",2014,"Georgetown",249,211.7068781,145
"Z013E0063/LH185",2014,"Georgetown",258,150.6868302,117
"Z013E0067/LH185",2014,"Georgetown",283,201.7381713,146
"Z013E0072/LH185",2014,"Georgetown",231,166.520016,123
"Z013E0073/LH185",2014,"Georgetown",235,169.582755,94.9999999999999
"Z013E0074/LH195",2014,"Georgetown",273,140.7374655,139
"Z013E0078/LH185",2014,"Georgetown",253,208.1539003,132
"Z013E0079/LH185",2014,"Georgetown",249,256.2320492,129
"Z013E0080/LH185",2014,"Georgetown",249,168.4624649,118
"Z013E0082/LH185",2014,"Georgetown",240,184.5451877,116
"Z013E0087/LH185",2014,"Georgetown",243,231.2570914,135
"Z013E0088/LH195",2014,"Georgetown",233,184.1167959,132
"Z013E0090/LH185",2014,"Georgetown",274,205.0085395,148
"Z013E0093/LH185",2014,"Georgetown",245,273.1614071,122
"Z022E0003/LH185",2014,"Georgetown",266,226.9165794,134
"Z022E0005/LH185",2014,"Georgetown",262,154.0377905,137
"Z022E0006/LH185",2014,"Georgetown",251,190.2659142,135
"Z022E0008/LH185",2014,"Georgetown",241,166.0633273,117
"Z022E0017/LH195",2014,"Georgetown",232,241.3626257,132
"Z022E0023/LH185",2014,"Georgetown",202,155.1978393,86.9999999999999
"Z022E0025/LH185",2014,"Georgetown",224,160.650403,115
"Z022E0027/LH185",2014,"Georgetown",264,138.4718123,125
"Z022E0042/LH185",2014,"Georgetown",259,254.0473464,130
"Z022E0046/LH185",2014,"Georgetown",266,148.2862599,136
"Z022E0048/LH185",2014,"Georgetown",224,186.5615426,122
"Z022E0048/LH195",2014,"Georgetown",210,144.1741519,112
"Z022E0053/LH185",2014,"Georgetown",194,162.4288022,75
"Z022E0059/LH185",2014,"Georgetown",241,216.1368175,121
"Z022E0073/LH185",2014,"Georgetown",265,202.9954083,129
"Z022E0073/LH195",2014,"Georgetown",284,190.6482193,144
"Z022E0077/LH185",2014,"Georgetown",240,168.7770726,135
"Z022E0077/LH195",2014,"Georgetown",247,200.2755738,127
"Z022E0095/LH185",2014,"Georgetown",268,236.2005518,148
"Z022E0095/LH195",2014,"Georgetown",230,192.6569329,112
"Z022E0097/LH185",2014,"Georgetown",210,153.0595813,101
"Z022E0097/LH195",2014,"Georgetown",198,160.7591725,80
"Z022E0108/LH185",2014,"Georgetown",266,222.0925148,153
"Z022E0108/LH195",2014,"Georgetown",252,191.5165844,130
"Z022E0110/LH185",2014,"Georgetown",266,184.4210162,133
"Z022E0110/LH195",2014,"Georgetown",241,183.1327364,133
"Z022E0114/LH185",2014,"Georgetown",217,166.4137538,113
"Z022E0121/LH185",2014,"Georgetown",239,195.24782,103
"Z022E0121/LH195",2014,"Georgetown",256,216.6172659,136
"Z022E0123/LH185",2014,"Georgetown",260,210.4936982,140
"Z022E0142/LH185",2014,"Georgetown",257,241.7715561,127
"Z022E0149/LH185",2014,"Georgetown",254,208.8020997,142
"Z022E0155/LH195",2014,"Georgetown",228,173.733189,113
"Z022E0160/LH185",2014,"Georgetown",288,186.0968545,148
"Z022E0166/LH185",2014,"Georgetown",231,205.5098821,104
"B14A/H95",2014,"Columbia",229.499999999989,104.26457964501,120.500000000006
"B14A/OH43",2014,"Columbia",231.5,129.365611799998,117.000000000001
"B37/C103",2014,"Columbia",243,133.227055649998,119.500000000001
"B37/H95",2014,"Columbia",231,106.423248269998,107.000000000001
"B37/Mo17",2014,"Columbia",234,161.921491749998,134.000000000001
"B37/OH43",2014,"Columbia",241.5,156.926112899998,127.000000000001
"B73_NC230-040-1-1-1-1/LH185",2014,"Columbia",254.5,156.283178149998,120.000000000001
"B73_NC230-041-1-1-1-1/LH185",2014,"Columbia",200,158.528846949998,94.0000000000009
